Jun 05 2023     09:20:31 am     Elt: 000240 Seconds.  Real Time: 000240
ID: No spectrum identifier defined
Memory Size: 1024 Chls  Conversion Gain: 1024  Adc Offset: 0000 Chls

 Chn    Counts  ROI
   0         0  000
   1         0  000
   2         0  000
   3         0  000
   4         0  000
   5         0  000
   6         0  000
   7         0  000
   8         1  000
   9        30  000
  10        77  000
  11        84  000
  12        54  000
  13        32  000
  14        16  000
  15        10  000
  16         4  000
  17         2  000
  18         1  000
  19         2  000
  20         0  000
  21         1  000
  22         0  000
  23         0  000
  24         1  000
  25         0  000
  26         0  000
  27         3  000
  28         2  000
  29         0  000
  30         1  000
  31         1  000
  32         1  000
  33         2  000
  34         2  000
  35         0  000
  36         1  000
  37         0  000
  38         0  000
  39         0  000
  40         1  000
  41         1  000
  42         0  000
  43         0  000
  44         0  000
  45         2  000
  46         0  000
  47         0  000
  48         0  000
  49         1  000
  50         1  000
  51         0  000
  52         0  000
  53         2  000
  54         1  000
  55         1  000
  56         0  000
  57         0  000
  58         1  000
  59         0  000
  60         0  000
  61         1  000
  62         0  000
  63         0  000
  64         0  000
  65         0  000
  66         0  000
  67         0  000
  68         2  000
  69         0  000
  70         1  000
  71         0  000
  72         0  000
  73         0  000
  74         0  000
  75         0  000
  76         0  000
  77         0  000
  78         1  000
  79         0  000
  80         0  000
  81         0  000
  82         0  000
  83         0  000
  84         0  000
  85         0  000
  86         0  000
  87         0  000
  88         1  000
  89         1  000
  90         0  000
  91         1  000
  92         0  000
  93         0  000
  94         0  000
  95         1  000
  96         0  000
  97         0  000
  98         0  000
  99         2  000
 100         0  000
 101         1  000
 102         0  000
 103         0  000
 104         0  000
 105         0  000
 106         0  000
 107         0  000
 108         0  000
 109         0  000
 110         0  000
 111         1  000
 112         0  000
 113         0  000
 114         0  000
 115         0  000
 116         0  000
 117         0  000
 118         0  000
 119         0  000
 120         0  000
 121         0  000
 122         2  000
 123         0  000
 124         0  000
 125         0  000
 126         0  000
 127         0  000
 128         0  000
 129         0  000
 130         1  000
 131         1  000
 132         0  000
 133         0  000
 134         0  000
 135         0  000
 136         0  000
 137         1  000
 138         0  000
 139         0  000
 140         1  000
 141         1  000
 142         1  000
 143         1  000
 144         0  000
 145         0  000
 146         0  000
 147         0  000
 148         0  000
 149         1  000
 150         0  000
 151         0  000
 152         0  000
 153         0  000
 154         0  000
 155         1  000
 156         0  000
 157         2  000
 158         1  000
 159         0  000
 160         0  000
 161         0  000
 162         1  000
 163         0  000
 164         0  000
 165         1  000
 166         1  000
 167         0  000
 168         1  000
 169         1  000
 170         0  000
 171         0  000
 172         0  000
 173         0  000
 174         0  000
 175         0  000
 176         0  000
 177         0  000
 178         0  000
 179         0  000
 180         0  000
 181         1  000
 182         0  000
 183         0  000
 184         0  000
 185         0  000
 186         0  000
 187         0  000
 188         1  000
 189         0  000
 190         1  000
 191         1  000
 192         0  000
 193         0  000
 194         1  000
 195         1  000
 196         0  000
 197         0  000
 198         2  000
 199         0  000
 200         1  000
 201         0  000
 202         0  000
 203         0  000
 204         0  000
 205         0  000
 206         1  000
 207         0  000
 208         0  000
 209         0  000
 210         0  000
 211         0  000
 212         0  000
 213         0  000
 214         0  000
 215         0  000
 216         0  000
 217         0  000
 218         0  000
 219         1  000
 220         0  000
 221         0  000
 222         1  000
 223         0  000
 224         0  000
 225         0  000
 226         0  000
 227         0  000
 228         0  000
 229         0  000
 230         1  000
 231         0  000
 232         1  000
 233         0  000
 234         0  000
 235         1  000
 236         0  000
 237         1  000
 238         0  000
 239         0  000
 240         0  000
 241         0  000
 242         0  000
 243         0  000
 244         0  000
 245         1  000
 246         0  000
 247         0  000
 248         0  000
 249         0  000
 250         0  000
 251         1  000
 252         1  000
 253         0  000
 254         1  000
 255         1  000
 256         0  000
 257         0  000
 258         0  000
 259         1  000
 260         0  000
 261         0  000
 262         0  000
 263         0  000
 264         0  000
 265         0  000
 266         0  000
 267         0  000
 268         2  000
 269         0  000
 270         0  000
 271         0  000
 272         0  000
 273         1  000
 274         0  000
 275         1  000
 276         0  000
 277         0  000
 278         0  000
 279         1  000
 280         2  000
 281         0  000
 282         0  000
 283         0  000
 284         0  000
 285         0  000
 286         1  000
 287         1  000
 288         0  000
 289         0  000
 290         0  000
 291         1  000
 292         0  000
 293         2  000
 294         0  000
 295         0  000
 296         0  000
 297         0  000
 298         0  000
 299         0  000
 300         0  000
 301         0  000
 302         1  000
 303         0  000
 304         0  000
