# Chn Amplitude
-15 0
-14 0
-12 0
-11 0
-9 0
-7 0
-6 0
-4 0
-3 0
-1 0
0 0
1 0
3 0
4 251
6 439
7 494
9 481
10 545
12 519
13 564
15 610
17 590
18 677
20 819
21 918
23 1283
24 2008
26 3793
28 6801
29 8304
31 5973
32 3288
34 2094
35 1494
37 967
38 646
40 552
42 517
43 505
45 494
46 546
48 523
49 553
51 569
53 513
54 529
56 566
57 542
59 536
60 567
62 571
63 541
65 563
67 604
68 569
70 572
71 629
73 603
74 573
76 613
78 630
79 613
81 612
82 627
84 640
85 576
87 594
88 623
90 639
92 607
93 563
95 620
96 600
98 576
99 571
101 588
103 643
104 585
106 600
107 580
109 583
110 604
112 623
114 622
115 559
117 550
118 617
120 582
121 611
123 567
124 582
126 623
128 565
129 594
131 583
132 590
134 601
135 557
137 584
139 573
140 571
142 547
143 604
145 567
146 581
148 577
149 578
151 555
153 606
154 602
156 574
157 548
159 601
160 597
162 620
164 605
165 611
167 576
168 571
170 555
171 609
173 548
174 594
176 643
178 620
179 644
181 713
182 691
184 707
185 751
187 837
189 833
190 888
192 862
193 878
195 955
196 953
198 951
199 921
201 902
203 896
204 902
206 866
207 867
209 854
210 894
212 792
214 804
215 777
217 789
218 756
220 741
221 754
223 706
224 696
226 715
228 724
229 714
231 667
232 676
234 652
235 668
237 602
239 663
240 620
242 593
243 579
245 604
246 615
248 636
249 591
251 582
253 622
254 582
256 578
257 571
259 540
260 571
262 546
264 539
265 532
267 515
268 529
270 531
271 509
273 566
275 523
276 553
278 500
279 500
281 507
282 553
284 525
285 531
287 477
289 494
290 477
292 496
293 499
295 494
296 494
298 480
300 472
301 481
303 474
304 449
306 458
307 451
309 483
310 442
312 482
314 478
315 452
317 464
318 442
320 450
321 452
323 462
325 472
326 466
328 474
329 474
331 484
332 454
334 430
335 439
337 443
339 443
340 484
342 450
343 446
345 431
346 435
348 480
350 472
351 457
353 469
354 464
356 424
357 454
359 431
360 420
362 414
364 425
365 443
367 420
368 446
370 440
371 415
373 437
375 453
376 447
378 465
379 422
381 446
382 492
384 426
385 453
387 490
389 435
390 472
392 447
393 444
395 476
396 420
398 442
400 454
401 456
403 469
404 449
406 452
407 486
409 455
410 494
412 443
414 495
415 502
417 496
418 427
420 533
421 463
423 489
425 477
426 453
428 498
429 476
431 492
432 494
434 486
435 492
437 453
439 540
440 545
442 460
443 530
445 523
446 480
448 465
450 493
451 487
453 443
454 434
456 432
457 395
459 398
461 387
462 364
464 378
465 355
467 329
468 321
470 327
471 289
473 272
475 252
476 268
478 223
479 233
481 221
482 181
484 146
486 158
487 162
489 161
490 141
492 152
493 144
495 127
496 156
498 130
500 122
501 130
503 125
504 110
506 99
507 109
509 95
511 113
512 77
514 90
515 91
517 77
518 87
520 78
521 69
523 75
525 84
526 69
528 80
529 53
531 73
532 59
534 75
536 66
537 61
539 62
540 67
542 53
543 35
545 47
546 56
548 46
550 40
551 57
553 47
554 43
556 38
557 35
559 37
561 39
562 39
564 37
565 42
567 39
568 43
570 34
571 34
573 31
575 29
576 25
578 29
579 24
581 32
582 39
584 21
586 30
587 47
589 39
590 40
592 30
593 35
595 27
596 38
598 37
600 39
601 40
603 45
604 39
606 48
607 49
609 48
611 65
612 71
614 75
615 91
617 94
618 133
620 129
622 191
623 240
625 253
626 352
628 363
629 424
631 480
632 612
634 671
636 823
637 855
639 1012
640 1138
642 1231
643 1362
645 1539
647 1673
648 1901
650 1925
651 2120
653 2169
654 2417
656 2574
