# Chn Amplitude
-9 0
-7 0
-6 1
-4 1
-3 7
-1 29
0 67
1 115
3 165
4 216
6 272
7 330
9 390
10 453
12 515
13 572
15 623
17 696
18 857
20 1183
21 1806
23 2579
24 3116
26 3377
28 3525
29 3591
31 3594
32 3538
34 3386
35 3056
37 2433
38 1656
40 1111
42 840
43 678
45 586
46 543
48 529
49 532
51 533
53 539
54 538
56 542
57 547
59 550
60 551
62 555
63 562
65 568
67 573
68 579
70 585
71 590
73 595
74 600
76 604
78 608
79 611
81 613
82 614
84 614
85 613
87 610
88 610
90 608
92 605
93 603
95 600
96 599
98 597
99 595
101 594
103 593
104 592
106 593
107 595
109 595
110 594
112 594
114 594
115 594
117 592
118 591
120 590
121 588
123 586
124 585
126 586
128 585
129 583
131 582
132 581
134 580
135 579
137 578
139 577
140 577
142 576
143 576
145 576
146 576
148 577
149 578
151 578
153 579
154 581
156 582
157 584
159 586
160 589
162 590
164 588
165 588
167 589
168 591
170 592
171 595
173 600
174 607
176 619
178 634
179 653
181 675
182 702
184 729
185 755
187 782
189 809
190 835
192 858
193 877
195 892
196 902
198 906
199 908
201 909
203 904
204 895
206 884
207 870
209 856
210 843
212 828
214 812
215 799
217 786
218 773
220 759
221 748
223 737
224 727
226 715
228 705
229 695
231 684
232 674
234 664
235 653
237 643
239 634
240 627
242 623
243 618
245 611
246 609
248 604
249 601
251 596
253 591
254 585
256 579
257 572
259 564
260 554
262 547
264 543
265 540
267 538
268 536
270 533
271 530
273 528
275 527
276 525
278 524
279 523
281 520
282 516
284 511
285 505
287 502
289 502
290 499
292 495
293 492
295 489
296 485
298 481
300 478
301 475
303 473
304 471
306 469
307 467
309 465
310 464
312 462
314 461
315 460
317 460
318 459
320 459
321 460
323 460
325 460
326 460
328 459
329 457
331 456
332 456
334 455
335 453
337 452
339 450
340 449
342 450
343 451
345 453
346 453
348 452
350 452
351 451
353 450
354 447
356 445
357 442
359 439
360 435
362 433
364 432
365 432
367 433
368 434
370 436
371 438
373 440
375 442
376 444
378 446
379 446
381 449
382 450
384 451
385 453
387 454
389 454
390 454
392 454
393 454
395 454
396 453
398 452
400 453
401 454
403 455
404 458
406 460
407 463
409 467
410 472
412 472
414 476
415 477
417 477
418 478
420 479
421 480
423 480
425 480
426 481
428 482
429 483
431 485
432 487
434 490
435 493
437 495
439 496
440 496
442 496
443 495
445 493
446 489
448 483
450 475
451 467
453 456
454 443
456 431
457 420
459 408
461 394
462 381
464 367
465 354
467 340
468 326
470 312
471 298
473 285
475 270
476 256
478 241
479 226
481 213
482 201
484 189
486 179
487 170
489 162
490 155
492 149
493 144
495 140
496 136
498 133
500 130
501 126
503 121
504 116
506 111
507 106
509 101
511 96
512 92
514 88
515 86
517 84
518 82
520 80
521 78
523 76
525 74
526 72
528 71
529 69
531 67
532 66
534 64
536 62
537 61
539 59
540 58
542 56
543 54
545 52
546 51
548 48
550 47
551 45
553 44
554 43
556 43
557 42
559 41
561 40
562 40
564 38
565 37
567 36
568 35
570 34
571 33
573 31
575 30
576 30
578 30
579 30
581 30
582 30
584 30
586 30
587 31
589 31
590 32
592 32
593 32
595 33
596 34
598 35
600 36
601 38
603 41
604 44
606 47
607 51
609 55
611 60
612 68
614 81
615 97
617 116
618 138
620 163
622 192
623 226
625 267
626 316
628 373
629 437
631 507
632 584
634 669
636 762
637 863
639 972
640 1090
642 1215
643 1344
645 1475
647 1612
648 1753
650 1894
651 2035
653 2170
654 2296
656 2419
657 2529
659 2631
661 2721
662 2794
664 2842
665 2863
667 2864
668 2847
670 2815
672 2758
673 2676
675 2577
676 2459
678 2330
679 2194
681 2052
682 1905
684 1754
686 1599
687 1448
689 1302
690 1163
692 1035
693 911
695 792
697 686
698 593
700 505
701 423
703 352
704 292
706 239
707 193
709 157
711 129
712 103
714 80
715 62
717 47
718 36
720 28
722 23
723 20
725 17
726 15
728 13
729 11
731 9
732 8
734 7
736 4
737 3
739 4
740 4
742 6
743 6
745 6
747 5
748 4
750 4
751 5
753 5
754 6
756 6
757 6
759 5
761 5
762 4
764 4
765 4
767 4
768 4
770 3
772 2
773 2
775 1
776 1
778 1
779 2
781 2
782 3
784 3
786 4
787 5
789 5
790 5
792 4
793 4
795 4
797 3
798 3
800 3
801 3
803 3
804 3
806 3
808 3
809 3
811 4
812 4
814 4
815 4
817 4
818 4
820 4
822 4
823 4
825 4
826 4
828 4
829 4
831 3
833 3
834 3
836 3
837 3
839 3
840 3
842 3
843 3
845 2
847 2
848 2
850 2
851 2
853 2
854 2
856 2
858 2
859 2
861 2
862 2
864 2
865 2
867 2
868 2
870 2
872 2
873 3
875 3
876 3
878 3
879 3
881 3
883 3
884 3
886 3
887 3
889 3
890 3
892 3
893 3
895 3
897 3
898 3
900 3
901 3
903 3
904 3
906 3
908 3
909 3
911 3
912 3
914 3
915 3
917 3
918 3
920 3
922 3
923 3
925 3
926 3
928 3
929 3
931 3
933 3
934 3
936 3
937 3
939 3
940 3
942 3
943 3
945 3
947 3
948 2
950 2
951 2
953 2
954 2
956 2
958 2
959 2
961 2
962 2
964 2
965 2
967 2
968 2
970 2
972 2
973 2
975 2
