# Chn Amplitude
-15 0
-13 0
-11 0
-10 0
-8 0
-7 0
-5 0
-4 0
-2 0
0 0
0 0
2 0
3 0
5 82
6 196
8 181
9 196
11 220
13 190
14 211
16 209
17 209
19 217
20 223
22 246
24 279
25 299
27 373
28 306
30 257
31 280
33 219
34 222
36 218
38 233
39 220
41 249
42 244
44 289
45 293
47 260
49 236
50 255
52 272
53 256
55 246
56 305
58 302
59 317
61 343
63 321
64 338
66 308
67 325
69 359
70 365
72 408
73 456
75 471
77 527
78 508
80 474
81 459
83 419
84 368
86 410
88 387
89 413
91 396
92 333
94 343
95 360
97 323
98 333
100 379
102 327
103 341
105 311
106 349
108 336
109 352
111 315
113 312
114 349
116 289
117 322
119 348
120 297
122 326
123 335
125 349
127 318
128 313
130 318
131 343
133 325
134 314
136 335
138 338
139 317
141 336
142 326
144 347
145 329
147 343
148 333
150 304
152 321
153 313
155 290
156 335
158 343
159 298
161 318
163 328
164 319
166 337
167 328
169 363
170 339
172 302
173 339
175 336
177 352
178 333
180 346
181 370
183 394
184 380
186 398
188 416
189 447
191 452
192 473
194 472
195 435
197 454
198 455
200 458
202 435
203 451
205 478
206 426
208 428
209 440
211 355
213 408
214 396
216 370
217 376
219 356
220 357
222 358
223 387
225 358
227 334
228 291
230 340
231 346
233 303
234 361
236 334
238 320
239 297
241 331
242 326
244 277
245 296
247 304
248 303
250 275
252 305
253 257
255 277
256 294
258 243
259 287
261 249
263 282
264 239
266 260
267 276
269 257
270 213
272 257
273 261
275 234
277 233
278 251
280 211
281 233
283 235
284 244
286 213
287 249
289 219
291 227
292 230
294 219
295 237
297 234
298 205
300 210
302 170
303 237
305 206
306 236
308 229
309 213
311 239
312 210
314 216
316 217
317 236
319 238
320 222
322 202
323 243
325 217
327 199
328 227
330 205
331 219
333 198
334 192
336 215
337 220
339 193
341 213
342 209
344 214
345 186
347 216
348 208
350 204
352 222
353 241
355 215
356 201
358 222
359 220
361 232
362 249
364 222
366 213
367 215
369 232
370 188
372 203
373 229
375 201
377 213
378 206
380 215
381 232
383 230
384 207
386 226
387 210
389 213
391 221
392 221
394 232
395 204
397 228
398 239
400 217
402 195
403 224
405 239
406 225
408 222
409 218
411 241
412 222
414 228
416 228
417 226
419 223
420 250
422 236
423 218
425 255
427 250
428 221
430 240
431 249
433 208
434 197
436 225
437 227
439 220
441 233
442 245
444 236
445 234
447 194
448 241
450 218
452 208
453 221
455 193
456 181
458 176
459 168
461 173
462 163
464 146
466 168
467 158
469 156
470 135
472 136
473 138
475 125
476 131
478 112
480 114
481 99
483 101
484 83
486 89
487 81
489 87
491 76
492 80
494 71
495 89
497 70
498 75
500 72
501 59
503 66
505 64
506 60
508 69
509 55
511 64
512 60
514 52
516 67
517 42
519 44
520 48
522 54
523 49
525 50
526 52
528 55
530 44
531 41
533 46
534 60
536 33
537 52
539 48
541 44
542 39
544 36
545 33
547 35
548 38
550 31
551 41
553 32
555 31
556 39
558 34
559 39
561 37
562 36
564 30
566 49
567 37
569 32
570 35
572 39
573 24
575 25
576 26
578 38
580 27
581 33
583 42
584 35
586 35
587 30
589 26
591 36
592 24
594 35
595 32
597 34
598 40
600 34
601 31
603 26
605 35
606 43
608 40
609 43
611 46
612 43
614 55
616 58
617 60
619 61
620 72
622 99
623 126
625 122
626 152
628 208
630 214
631 229
633 283
634 305
636 382
637 425
639 483
641 579
642 565
644 673
645 714
647 783
648 804
650 930
651 970
653 1064
655 1044
656 1159
658 1136
659 1189
661 1145
662 1218
664 1200
665 1218
667 1137
669 1182
670 1119
672 1118
673 1140
675 1039
676 993
678 933
680 877
681 846
683 700
684 637
686 615
687 523
689 479
690 390
692 348
694 290
695 244
697 209
698 193
700 131
701 121
703 90
705 71
706 63
708 39
709 41
711 31
712 24
714 15
715 10
717 14
719 10
720 6
722 5
723 3
725 3
726 1
728 1
730 3
731 4
733 3
734 3
736 3
737 3
739 5
740 4
742 3
744 2
745 2
747 5
748 5
750 2
751 0
753 4
755 1
756 2
758 3
759 4
761 3
762 2
764 10
765 2
767 3
769 0
770 3
772 5
773 3
775 6
776 3
778 4
780 7
781 3
783 4
784 4
786 8
787 4
789 5
790 7
792 4
794 2
795 5
797 2
798 4
800 2
801 3
803 2
805 3
806 4
808 2
809 5
811 1
812 3
814 5
815 2
817 1
819 1
820 2
822 4
823 3
825 4
826 0
828 3
830 1
831 3
833 2
834 1
836 1
837 2
839 3
840 3
842 2
844 3
845 3
847 3
848 3
850 0
851 2
853 2
854 5
856 4
858 9
859 4
861 4
862 4
864 3
865 3
867 3
869 2
870 0
872 4
873 3
875 3
876 2
878 1
879 1
881 3
883 1
884 1
886 0
887 1
889 3
890 4
892 3
894 1
895 2
897 5
898 3
900 3
901 2
903 3
904 5
906 3
908 3
909 1
911 2
912 3
914 3
915 3
917 3
919 1
920 2
922 1
923 2
925 6
926 3
928 2
929 3
931 5
933 4
934 4
936 2
937 1
939 2
940 3
942 3
944 3
945 3
947 2
948 1
950 1
951 3
953 4
954 1
956 3
958 1
959 4
