# Chn Amplitude
-9 1
-7 1
-6 2
-4 3
-3 7
-1 13
0 25
1 43
3 62
4 83
6 105
7 126
9 147
10 168
12 186
13 201
15 212
17 220
18 230
20 242
21 251
23 258
24 264
26 267
28 269
29 270
31 268
32 263
34 257
35 248
37 243
38 244
40 244
42 248
43 251
45 253
46 258
48 264
49 269
51 272
53 276
54 279
56 284
57 291
59 298
60 306
62 316
63 327
65 339
67 353
68 368
70 384
71 402
73 421
74 435
76 442
78 447
79 447
81 444
82 439
84 429
85 413
87 399
88 388
90 378
92 370
93 365
95 360
96 354
98 345
99 341
101 339
103 337
104 335
106 333
107 331
109 328
110 326
112 325
114 324
115 324
117 325
118 325
120 325
121 325
123 325
124 326
126 326
128 327
129 327
131 328
132 328
134 328
135 329
137 329
139 329
140 328
142 328
143 327
145 326
146 325
148 324
149 323
151 321
153 320
154 319
156 319
157 320
159 322
160 324
162 326
164 327
165 328
167 328
168 329
170 331
171 333
173 335
174 339
176 344
178 350
179 357
181 366
182 376
184 387
185 400
187 412
189 420
190 428
192 435
193 441
195 446
196 450
198 451
199 451
201 450
203 446
204 440
206 433
207 427
209 419
210 410
212 401
214 394
215 386
217 380
218 374
220 367
221 361
223 355
224 350
226 346
228 342
229 338
231 334
232 329
234 326
235 325
237 322
239 318
240 314
242 310
243 306
245 302
246 298
248 293
249 289
251 285
253 282
254 279
256 276
257 273
259 269
260 266
262 263
264 260
265 257
267 254
268 251
270 249
271 246
273 244
275 241
276 239
278 237
279 236
281 234
282 232
284 231
285 230
287 229
289 227
290 226
292 225
293 223
295 222
296 221
298 220
300 219
301 218
303 218
304 219
306 219
307 219
309 220
310 221
312 222
314 222
315 221
317 220
318 220
320 219
321 218
323 216
325 215
326 214
328 213
329 212
331 210
332 209
334 208
335 206
337 206
339 205
340 205
342 206
343 206
345 207
346 209
348 211
350 213
351 214
353 215
354 216
356 217
357 218
359 219
360 219
362 220
364 220
365 219
367 219
368 218
370 217
371 216
373 214
375 213
376 213
378 213
379 214
381 215
382 216
384 217
385 218
387 219
389 220
390 220
392 220
393 220
395 221
396 221
398 221
400 222
401 222
403 223
404 223
406 224
407 224
409 225
410 225
412 226
414 227
415 227
417 228
418 229
420 230
421 231
423 232
425 232
426 232
428 231
429 230
431 230
432 229
434 228
435 227
437 226
439 226
440 224
442 224
443 223
445 222
446 220
448 218
450 214
451 209
453 204
454 198
456 192
457 186
459 180
461 175
462 169
464 163
465 158
467 153
468 148
470 142
471 138
473 133
475 128
476 123
478 118
479 113
481 108
482 103
484 99
486 94
487 90
489 86
490 83
492 81
493 78
495 76
496 74
498 73
500 71
501 69
503 67
504 64
506 62
507 61
509 59
511 57
512 55
514 54
515 53
517 52
518 51
520 51
521 50
523 50
525 49
526 48
528 48
529 47
531 46
532 45
534 45
536 44
537 43
539 42
540 42
542 41
543 40
545 40
546 39
548 38
550 37
551 37
553 36
554 36
556 36
557 35
559 35
561 35
562 35
564 35
565 34
567 34
568 33
570 33
571 32
573 31
575 31
576 31
578 30
579 30
581 30
582 30
584 30
586 30
587 31
589 31
590 31
592 30
593 30
595 31
596 31
598 31
600 31
601 32
603 33
