# Chn Amplitude
-15 0
-13 0
-11 0
-10 0
-8 0
-7 0
-5 0
-4 0
-2 0
0 0
0 0
2 0
3 0
5 49
6 118
8 162
9 134
11 143
13 144
14 157
16 141
17 158
19 160
20 140
22 168
24 207
25 238
27 255
28 250
30 209
31 176
33 188
34 181
36 159
38 190
39 156
41 187
42 177
44 175
45 212
47 210
49 193
50 192
52 230
53 198
55 227
56 220
58 235
59 244
61 253
63 249
64 272
66 277
67 238
69 317
70 297
72 293
73 338
75 375
77 410
78 386
80 391
81 353
83 301
84 334
86 286
88 328
89 297
91 310
92 338
94 284
95 313
97 304
98 285
100 265
102 251
103 274
105 266
106 273
108 276
109 285
111 276
113 270
114 236
116 278
117 263
119 290
120 274
122 269
123 257
125 251
127 284
128 282
130 230
131 283
133 268
134 272
136 268
138 269
139 268
141 263
142 252
144 241
145 260
147 276
148 257
150 247
152 231
153 247
155 251
156 254
158 266
159 281
161 249
163 242
164 255
166 276
167 244
169 242
170 272
172 268
173 281
175 280
177 255
178 278
180 315
181 309
183 306
184 335
186 307
188 334
189 337
191 359
192 347
194 357
195 316
197 364
198 344
200 339
202 341
203 336
205 310
206 320
208 327
209 319
211 322
213 255
214 283
216 286
217 276
219 294
220 271
222 279
223 254
225 247
227 245
228 215
230 285
231 256
233 227
234 203
236 246
238 232
239 223
241 242
242 207
244 195
245 181
247 200
248 230
250 190
252 192
253 190
255 154
256 182
258 183
259 159
261 175
263 185
264 172
266 193
267 163
269 188
270 179
272 184
273 190
275 196
277 167
278 159
280 177
281 171
283 155
284 152
286 151
287 172
289 154
291 144
292 147
294 174
295 174
297 170
298 152
300 153
302 166
303 151
305 136
306 151
308 145
309 144
311 151
312 149
314 159
316 157
317 159
319 157
320 150
322 162
323 130
325 139
327 151
328 129
330 153
331 163
333 160
334 139
336 157
337 140
339 152
341 146
342 156
344 156
345 143
347 141
348 146
350 134
352 171
353 139
355 147
356 180
358 142
359 157
361 160
362 165
364 170
366 158
367 169
369 148
370 155
372 158
373 167
375 157
377 152
378 177
380 161
381 132
383 163
384 165
386 156
387 182
389 140
391 162
392 162
394 145
395 165
397 153
398 166
400 144
402 166
403 181
405 168
406 150
408 170
409 173
411 158
412 171
414 146
416 149
417 163
419 159
420 166
422 165
423 172
425 178
427 146
428 157
430 161
431 166
433 151
434 146
436 163
437 161
439 160
441 155
442 160
444 137
445 170
447 139
448 153
450 133
452 164
453 164
455 153
456 141
458 145
459 119
461 139
462 135
464 108
466 109
467 124
469 128
470 115
472 117
473 109
475 98
476 87
478 90
480 99
481 94
483 68
484 78
486 67
487 82
489 84
491 78
492 87
494 83
495 68
497 65
498 75
500 58
501 66
503 51
505 84
506 64
508 53
509 61
511 51
512 60
514 59
516 53
517 66
519 70
520 71
522 55
523 62
525 51
526 58
528 53
530 54
531 58
533 43
534 38
536 61
537 61
539 50
541 60
542 51
544 44
545 43
547 49
548 43
550 47
551 51
553 52
555 48
556 52
558 53
559 40
561 37
562 46
564 46
566 48
567 49
569 52
570 47
572 52
573 42
575 38
576 49
578 46
580 40
581 49
583 42
584 50
586 49
587 35
589 33
591 63
592 56
594 41
595 49
597 45
598 39
600 48
601 43
603 40
605 53
606 58
608 58
609 46
611 65
612 61
614 62
616 61
617 59
619 51
620 91
622 72
623 103
625 100
626 128
628 148
630 119
631 168
633 174
634 222
636 228
637 268
639 267
641 311
642 360
644 403
645 464
647 417
648 534
650 529
651 579
653 534
655 665
656 649
658 651
659 689
661 695
662 693
664 712
665 706
667 670
669 680
670 680
672 668
673 594
675 569
676 552
678 494
680 494
681 459
683 410
684 367
686 354
687 302
689 227
690 216
692 182
694 174
695 130
697 123
698 97
700 82
701 60
703 46
705 50
706 42
708 30
709 26
711 20
712 7
714 21
715 10
717 2
719 7
720 5
722 5
723 3
725 6
726 7
728 3
730 8
731 5
733 2
734 1
736 2
737 6
739 2
740 1
742 2
744 6
745 1
747 2
748 1
750 1
751 1
753 4
755 4
756 2
758 7
759 5
761 2
762 1
764 3
765 2
767 4
769 5
770 1
772 3
773 2
775 1
776 1
778 3
780 3
781 3
783 2
784 2
786 3
787 2
789 1
790 1
792 0
794 1
795 2
797 1
798 1
800 5
801 0
803 4
805 2
806 3
808 0
809 5
811 1
812 4
814 3
815 4
817 2
819 2
820 2
822 0
823 1
825 3
826 3
828 4
830 0
831 4
833 5
834 2
836 3
837 5
839 1
840 2
842 2
844 0
845 2
847 2
848 2
850 3
851 0
853 2
854 4
856 5
858 3
859 1
861 3
862 4
864 4
865 3
867 2
869 2
870 4
872 4
873 1
875 0
876 1
878 3
879 3
881 3
883 0
884 2
886 2
887 6
889 1
890 3
892 1
894 4
895 4
897 3
898 3
900 4
901 5
903 6
904 2
906 0
908 3
909 3
911 8
912 2
914 1
915 0
917 2
919 1
920 5
922 2
923 1
925 4
926 2
928 6
929 5
931 6
933 4
934 5
936 3
937 2
939 4
940 2
942 2
944 1
945 3
947 1
948 1
950 3
951 4
953 2
954 4
956 3
958 2
959 3
961 1
962 0
964 3
965 3
