# Chn Amplitude
-9 0
-7 1
-6 2
-4 2
-3 4
-1 9
0 17
1 29
3 43
4 58
6 73
7 89
9 104
10 118
12 131
13 142
15 151
17 158
18 165
20 174
21 183
23 189
24 194
26 198
28 201
29 202
31 200
32 197
34 191
35 186
37 182
38 182
40 183
42 186
43 190
45 194
46 197
48 201
49 205
51 210
53 215
54 220
56 225
57 230
59 236
60 242
62 251
63 259
65 269
67 279
68 291
70 304
71 317
73 328
74 337
76 343
78 345
79 346
81 345
82 340
84 335
85 328
87 322
88 316
90 311
92 307
93 302
95 297
96 293
98 288
99 284
101 280
103 278
104 275
106 273
107 272
109 271
110 271
112 270
114 269
115 269
117 268
118 267
120 267
121 266
123 266
124 266
126 266
128 266
129 266
131 265
132 265
134 265
135 264
137 264
139 263
140 261
142 260
143 259
145 257
146 256
148 254
149 253
151 253
153 254
154 253
156 252
157 253
159 254
160 255
162 256
164 257
165 258
167 260
168 261
170 264
171 267
173 270
174 275
176 280
178 287
179 293
181 300
182 307
184 314
185 320
187 326
189 330
190 334
192 337
193 338
195 339
196 339
198 338
199 337
201 334
203 330
204 326
206 321
207 315
209 310
210 304
212 298
214 293
215 288
217 283
218 277
220 273
221 268
223 264
224 260
226 255
228 251
229 247
231 242
232 238
234 235
235 232
237 228
239 222
240 216
242 213
243 212
245 207
246 202
248 199
249 195
251 192
253 189
254 186
256 184
257 181
259 179
260 177
262 176
264 175
265 176
267 177
268 177
270 177
271 177
273 176
275 175
276 173
278 172
279 170
281 167
282 165
284 162
285 159
287 158
289 157
290 157
292 157
293 157
295 157
296 157
298 157
300 156
301 155
303 154
304 153
306 152
307 151
309 151
310 151
312 151
314 151
315 150
317 150
318 149
320 149
321 148
323 148
325 148
326 148
328 148
329 148
331 148
332 149
334 149
335 149
337 149
339 149
340 149
342 149
343 149
345 149
346 149
348 149
350 149
351 150
353 151
354 152
356 153
357 154
359 155
360 156
362 157
364 157
365 158
367 158
368 158
370 158
371 158
373 158
375 158
376 158
378 158
379 158
381 158
382 158
384 158
385 159
387 159
389 159
390 159
392 159
393 160
395 160
396 160
398 160
400 160
401 161
403 161
404 161
406 161
407 161
409 161
410 161
412 161
414 161
415 161
417 161
418 161
420 161
421 161
423 161
425 161
426 160
428 160
429 159
431 158
432 158
434 157
435 156
437 155
439 155
440 154
442 153
443 153
445 152
446 151
448 150
450 149
451 147
453 145
454 143
456 141
457 138
459 136
461 133
462 130
464 127
465 124
467 120
468 117
470 114
471 111
473 108
475 104
476 100
478 97
479 93
481 90
482 87
484 85
486 82
487 80
489 78
490 76
492 74
493 72
495 70
496 69
498 68
500 67
501 65
503 64
504 63
506 62
507 61
509 61
511 60
512 60
514 59
515 59
517 58
518 58
520 57
521 57
523 56
525 56
526 55
528 55
529 54
531 54
532 53
534 53
536 52
537 52
539 51
540 51
542 50
543 50
545 50
546 49
548 49
550 48
551 48
553 47
554 47
556 47
557 46
559 46
561 45
562 45
564 45
565 45
567 45
568 45
570 45
571 45
573 45
575 45
576 45
578 45
579 45
581 45
582 45
584 44
586 44
587 44
589 44
590 44
592 44
593 44
595 44
596 44
598 44
600 45
601 45
603 46
604 47
606 49
607 51
609 53
611 55
612 58
614 60
615 64
617 68
618 73
620 79
622 87
623 96
625 106
626 118
628 131
629 146
631 163
632 183
634 204
636 227
637 253
639 282
640 312
642 345
643 378
645 410
647 443
648 476
650 510
651 540
653 568
654 595
656 619
657 640
659 657
661 670
662 678
664 682
665 681
667 675
668 665
670 650
672 632
673 610
675 585
676 557
678 526
679 492
681 458
682 422
684 386
686 351
687 315
689 281
690 249
692 218
693 190
695 163
697 139
698 118
700 99
701 83
703 68
704 56
706 46
707 37
709 31
711 25
712 21
714 17
715 13
717 10
718 8
720 6
722 4
723 3
725 2
726 2
728 1
729 1
731 1
732 1
734 1
736 1
737 1
739 2
740 2
742 2
743 2
745 2
747 2
748 2
750 2
751 2
753 2
754 2
756 2
757 2
759 2
761 2
762 2
764 2
765 2
767 2
768 2
770 1
772 1
773 1
775 1
776 1
778 1
779 1
781 2
782 2
784 2
786 2
787 2
789 2
790 2
792 2
793 2
795 2
797 2
798 1
800 1
801 1
803 1
804 1
806 1
808 1
809 1
811 1
812 1
814 1
815 1
817 1
818 1
820 1
822 1
823 1
825 1
826 1
828 1
829 1
831 1
833 2
834 2
836 2
837 2
839 2
840 2
842 2
843 2
845 2
847 2
848 2
850 2
851 2
853 2
854 2
856 2
858 2
859 2
861 2
862 2
864 2
865 2
867 2
868 2
870 2
872 2
873 2
875 2
876 2
878 2
879 2
881 2
883 2
884 2
886 2
887 2
889 2
890 2
892 2
893 2
895 2
897 2
898 2
900 2
901 2
903 2
904 2
906 2
908 2
909 2
911 2
912 2
914 2
915 2
917 2
918 2
920 2
922 2
923 2
925 2
926 2
928 2
929 2
931 2
933 2
934 2
936 2
937 2
939 2
940 2
942 2
943 2
945 2
947 2
948 2
950 2
951 2
953 2
954 2
956 2
958 2
959 2
961 2
962 2
964 2
965 2
967 2
968 2
970 2
972 1
973 1
975 1
976 1
978 1
979 1
981 1
983 1
984 1
986 1
987 1
989 1
990 1
992 1
994 1
995 1
997 1
998 1
1000 1
1001 1
1003 1
1004 1
1006 0
1008 0
1009 0
1011 0
1012 0
1014 0
1015 0
1017 0
1019 0
1020 0
1022 0
1023 0
1025 0
1026 0
1028 0
1029 0
1031 0
1033 0
1034 1
1036 1
1037 1
1039 1
1040 1
1042 1
1044 1
1045 1
1047 1
1048 1
1050 1
1051 1
1053 1
1054 1
1056 1
1058 1
1059 1
1061 1
1062 1
1064 1
1065 1
1067 1
1069 1
1070 1
1072 1
1073 1
1075 1
1076 1
1078 1
1079 1
1081 1
1083 1
1084 1
1086 1
1087 1
1089 1
1090 1
1092 1
1094 1
1095 1
1097 1
1098 1
1100 1
1101 1
1103 1
1104 1
1106 1
1108 1
1109 1
1111 1
1112 1
1114 1
1115 1
1117 1
1119 1
1120 1
1122 1
1123 1
1125 1
1126 1
1128 1
1129 1
1131 1
1133 1
1134 1
1136 1
1137 1
1139 1
1140 1
1142 1
1144 1
1145 1
1147 1
1148 1
1150 1
1151 1
1153 1
1155 1
1156 1
1158 1
1159 1
1161 1
1162 1
1164 1
1165 1
1167 1
1169 1
1170 1
1172 1
1173 1
1175 1
1176 1
1178 1
1180 1
1181 1
1183 1
1184 1
1186 1
1187 1
1189 1
1190 1
1192 1
1194 1
1195 1
1197 1
1198 1
1200 1
1201 1
1203 1
1205 1
1206 1
1208 1
1209 1
1211 1
1212 0
1214 0
1215 0
1217 0
1219 0
1220 0
1222 0
1223 0
1225 0
1226 0
1228 0
1230 0
1231 0
1233 0
1234 0
1236 0
1237 0
1239 0
1240 0
1242 0
1244 0
1245 0
1247 0
1248 0
1250 0
1251 0
1253 0
1255 0
1256 0
1258 0
1259 0
1261 0
1262 0
1264 0
1265 0
1267 0
1269 0
1270 0
1272 0
1273 0
1275 0
1276 0
1278 0
1280 0
1281 0
1283 0
1284 0
1286 0
1287 0
1289 0
1290 0
1292 0
1294 0
1295 0
1297 0
1298 0
