# Chn Amplitude
-15 0
-14 0
-12 0
-11 0
-9 0
-7 0
-6 0
-4 0
-3 0
-1 0
0 0
1 0
3 0
4 30
6 47
7 51
9 45
10 42
12 45
13 59
15 51
17 50
18 58
20 60
21 55
23 80
24 53
26 65
28 75
29 69
31 75
32 65
34 58
35 68
37 62
38 83
40 73
42 77
43 73
45 94
46 84
48 93
49 103
51 104
53 88
54 112
56 123
57 113
59 138
60 118
62 133
63 138
65 162
67 154
68 153
70 139
71 171
73 170
74 179
76 162
78 184
79 187
81 160
82 208
84 164
85 180
87 169
88 179
90 175
92 178
93 168
95 184
96 159
98 180
99 164
101 166
103 153
104 151
106 179
107 148
109 185
110 156
112 173
114 133
115 150
117 152
118 143
120 155
121 134
123 166
124 144
126 141
128 156
129 142
131 147
132 150
134 144
135 128
137 125
139 130
140 127
142 148
143 143
145 143
146 122
148 115
149 124
151 141
153 115
154 130
156 111
157 131
159 103
160 112
162 118
164 115
165 116
167 97
168 99
170 104
171 89
173 114
174 104
176 95
178 95
179 99
181 118
182 99
184 96
185 98
187 92
189 87
190 95
192 87
193 101
195 89
196 108
198 96
199 94
201 105
203 87
204 102
206 83
207 87
209 114
210 94
212 95
214 98
215 94
217 99
218 84
220 91
221 80
223 93
224 84
226 100
228 84
229 97
231 97
232 101
234 105
235 103
237 98
239 98
240 83
242 88
243 91
245 84
246 81
248 88
249 80
251 84
253 93
254 74
256 66
257 70
259 76
260 66
262 62
264 54
265 58
267 58
268 55
270 53
271 69
273 64
275 58
276 53
278 69
279 63
281 51
282 82
284 56
285 49
287 51
289 63
290 50
292 45
293 50
295 44
296 50
298 58
300 48
301 41
303 65
304 48
306 53
307 52
309 48
310 62
312 43
314 37
315 53
317 40
318 48
320 41
321 38
323 36
325 40
326 45
328 54
329 62
331 40
332 48
334 40
335 47
337 45
339 47
340 41
342 43
343 37
345 33
346 38
348 43
350 39
351 37
353 34
354 50
356 36
357 46
359 42
360 35
362 54
364 25
365 38
367 36
368 45
370 40
371 26
373 47
375 23
376 28
378 26
379 33
381 37
382 13
384 31
385 36
387 24
389 43
390 41
392 25
393 37
395 22
396 31
398 39
400 31
401 19
403 32
404 34
406 27
407 29
409 31
410 29
412 37
414 33
415 37
417 37
418 34
420 23
421 22
423 34
425 33
426 32
428 24
429 25
431 24
432 25
434 35
435 32
437 27
439 28
440 22
442 33
443 32
445 34
446 34
448 32
450 23
451 31
453 26
454 29
456 25
457 27
459 34
461 34
462 23
464 30
465 31
467 32
468 25
470 27
471 29
473 27
475 28
476 33
478 30
479 24
481 31
482 29
484 26
486 28
487 27
489 25
490 26
492 21
493 29
495 32
496 25
498 37
500 35
501 28
503 16
504 22
506 38
507 25
509 29
511 24
512 32
514 35
515 26
517 25
518 25
520 32
521 28
523 32
525 21
526 28
528 31
529 27
531 18
532 21
534 28
536 20
537 28
539 16
540 20
542 36
543 19
545 19
546 24
548 28
550 24
551 29
553 34
554 31
556 28
557 20
559 28
561 21
562 24
564 30
565 24
567 16
568 22
570 32
571 25
573 28
575 19
576 23
578 25
579 32
581 23
582 22
584 36
586 22
587 27
589 27
590 28
592 35
593 22
595 23
596 26
598 25
600 42
601 30
603 37
604 30
606 26
607 21
609 27
611 26
612 33
614 19
615 23
617 26
618 32
620 20
622 31
623 27
625 19
626 22
628 28
629 30
631 25
632 30
634 20
636 24
637 28
639 17
640 31
642 28
643 34
645 26
647 27
648 34
650 21
651 24
653 24
654 28
656 22
657 27
659 25
661 24
662 24
664 36
