# Chn Amplitude
-8 0
-7 1
-5 1
-4 2
-2 3
0 5
0 8
2 11
3 15
5 20
6 25
8 30
9 35
11 40
13 44
14 48
16 50
17 53
19 55
20 56
22 58
24 59
25 61
27 62
28 63
30 64
31 65
33 66
34 68
36 69
38 71
39 73
41 76
42 78
44 81
45 85
47 88
49 92
50 96
52 100
53 104
55 109
56 113
58 118
59 122
61 127
63 131
64 136
66 141
67 146
69 150
70 155
72 159
73 162
75 165
77 168
78 170
80 172
81 173
83 174
84 175
86 175
88 175
89 175
91 175
92 174
94 173
95 172
97 171
98 169
100 168
102 166
103 165
105 163
106 162
108 160
109 159
111 157
113 156
114 155
116 153
117 152
119 151
120 150
122 149
123 148
125 147
127 146
128 145
130 144
131 143
133 142
134 141
136 140
138 139
139 138
141 136
142 134
144 133
145 131
147 129
148 127
150 125
152 123
153 121
155 119
156 118
158 116
159 114
161 112
163 111
164 109
166 108
167 107
169 106
170 105
172 104
173 103
175 102
177 101
178 100
180 100
181 99
183 98
184 98
186 97
188 97
189 96
191 96
192 96
194 95
195 95
197 95
198 94
200 94
202 94
203 94
205 94
206 94
208 94
209 94
211 94
213 94
214 94
216 93
217 93
219 92
220 92
222 92
223 91
225 91
227 92
228 92
230 93
231 93
233 94
234 94
236 94
238 94
239 93
241 92
242 90
244 88
245 87
247 85
248 82
250 80
252 78
253 76
255 74
256 72
258 70
259 68
261 67
263 65
264 64
266 63
267 62
269 61
270 60
272 60
273 60
275 59
277 59
278 58
280 58
281 58
283 57
284 57
286 57
287 56
289 56
291 55
292 54
294 53
295 53
297 52
298 52
300 51
302 50
303 50
305 49
306 48
308 48
309 48
311 47
312 47
314 46
316 45
317 45
319 44
320 44
322 44
323 44
325 44
327 44
328 44
330 43
331 43
333 43
334 42
336 42
337 42
339 41
341 41
342 41
344 40
345 40
347 39
348 39
350 39
352 38
353 38
355 38
356 38
358 38
359 38
361 38
362 38
364 38
366 37
367 37
369 36
370 35
372 35
373 34
375 33
377 33
378 32
380 32
381 32
383 31
384 31
386 31
387 31
389 30
391 30
392 30
394 30
395 30
397 30
398 30
400 30
402 30
403 30
405 30
406 30
408 30
409 30
411 30
412 30
414 30
416 30
417 29
419 29
420 29
422 29
423 29
425 29
427 29
428 29
430 28
431 28
433 28
434 28
436 28
437 28
439 28
441 28
442 28
444 28
445 28
447 28
448 28
450 28
452 28
453 28
455 28
456 28
458 28
459 28
461 28
462 28
464 28
466 28
467 28
469 28
470 28
472 28
473 28
475 28
476 28
478 28
480 28
481 27
483 27
484 27
486 27
487 27
489 27
491 27
492 27
494 27
495 27
497 27
498 27
500 27
501 27
503 27
505 27
506 27
508 27
509 27
511 27
512 26
514 26
516 26
517 26
519 26
520 26
522 26
523 26
525 25
526 25
528 25
530 25
531 25
533 25
534 24
536 24
537 24
539 24
541 24
542 24
544 24
545 25
547 25
548 25
550 25
551 25
553 25
555 25
556 24
558 24
559 24
561 24
562 24
564 24
566 24
567 24
569 24
570 24
572 25
573 25
575 25
576 25
578 25
580 25
581 25
583 25
584 25
586 25
587 25
589 25
591 25
592 26
594 26
595 26
597 26
598 26
600 27
601 27
603 27
605 26
606 26
608 26
609 26
611 26
612 26
614 26
616 26
617 26
619 26
620 26
622 26
623 26
625 26
626 26
628 26
630 26
631 26
633 26
634 26
636 26
637 26
639 26
641 26
642 26
644 26
645 26
647 26
648 26
650 26
651 26
653 25
655 25
656 25
658 25
659 25
661 25
662 25
664 25
665 25
667 25
669 25
670 25
672 25
673 25
675 25
676 24
678 24
680 24
681 24
683 24
684 24
686 23
687 23
689 23
690 24
692 24
694 24
695 24
697 24
698 24
700 24
701 24
703 24
705 24
706 24
