# Chn Amplitude
-3 8
-1 9
0 11
1 13
3 16
4 20
6 23
7 26
9 30
10 33
12 37
13 40
15 44
17 47
18 50
20 52
21 55
23 57
24 58
26 60
28 60
29 61
31 62
32 64
34 66
35 69
37 71
38 73
40 75
42 78
43 81
45 84
46 87
48 91
49 94
51 99
53 103
54 108
56 112
57 117
59 121
60 125
62 129
63 133
65 138
67 142
68 146
70 150
71 154
73 157
74 160
76 163
78 165
79 168
81 170
82 171
84 172
85 173
87 173
88 173
90 172
92 171
93 170
95 169
96 168
98 168
99 167
101 165
103 164
104 162
106 161
107 159
109 158
110 157
112 156
114 155
115 154
117 153
118 152
120 151
121 150
123 149
124 147
126 147
128 146
129 145
131 144
132 142
134 141
135 139
137 138
139 136
140 134
142 132
143 131
145 129
146 128
148 126
149 125
151 123
153 122
154 120
156 119
157 117
159 116
160 114
162 113
164 111
165 110
167 108
168 107
170 106
171 104
173 103
174 102
176 101
178 100
179 99
181 98
182 97
184 96
185 95
187 95
189 94
190 94
192 94
193 93
195 93
196 93
198 93
199 93
201 94
203 94
204 95
206 95
207 95
209 95
210 95
212 94
214 94
215 94
217 93
218 93
220 93
221 93
223 92
224 92
226 92
228 91
229 91
231 91
232 90
234 90
235 89
237 88
239 87
240 87
242 86
243 85
245 84
246 82
248 81
249 79
251 77
253 75
254 73
256 71
257 70
259 69
260 68
262 67
264 65
265 65
267 64
268 63
270 62
271 61
273 61
275 60
276 59
278 59
279 59
281 58
282 57
284 57
285 56
287 55
289 54
290 54
292 53
293 52
295 51
296 51
298 50
300 50
301 50
303 49
304 49
306 49
307 48
309 48
310 47
312 47
314 46
315 46
317 45
318 45
320 44
321 44
323 43
325 43
326 42
328 42
329 41
331 41
332 41
334 40
335 40
337 40
339 39
340 39
342 39
343 39
345 39
346 38
348 38
350 38
351 38
353 38
354 38
356 37
357 37
359 37
360 37
362 36
364 36
365 36
367 35
368 35
370 35
371 34
373 34
375 34
376 33
378 33
379 32
381 32
382 32
384 31
385 31
387 31
389 31
390 30
392 30
393 30
395 30
396 30
398 30
400 30
401 29
403 29
404 29
406 29
407 29
409 29
410 29
412 29
414 28
415 28
417 28
418 28
420 28
421 28
423 28
425 28
426 28
428 27
429 27
431 27
432 27
434 27
435 27
437 27
439 27
440 27
