# Chn Amplitude
-15 0
-13 0
-11 0
-10 0
-8 0
-7 0
-5 0
-4 0
-2 0
0 0
0 0
2 0
3 0
5 750
6 1324
8 503
9 236
11 238
13 306
14 229
16 134
17 115
19 129
20 164
22 176
24 187
25 224
27 257
28 394
30 597
31 853
33 1098
34 1619
36 2693
38 3981
39 4349
41 3130
42 1696
44 1224
45 1172
47 978
49 619
50 322
52 188
53 161
55 148
56 162
58 151
59 180
61 154
63 192
64 167
66 183
67 185
69 201
70 234
72 185
73 229
75 229
77 258
78 251
80 262
81 287
83 277
84 311
86 320
88 341
89 394
91 402
92 369
94 379
95 360
97 319
98 242
100 279
102 274
103 268
105 259
106 230
108 231
109 224
111 201
113 260
114 274
116 333
117 464
119 608
120 786
122 1117
123 1327
125 1445
127 1446
128 1251
130 964
131 740
133 523
134 376
136 247
138 243
139 189
141 192
142 187
144 157
145 189
147 181
148 144
150 158
152 199
153 191
155 180
156 182
158 189
159 172
161 190
163 171
164 165
166 180
167 167
169 176
170 180
172 144
173 189
175 159
177 163
178 147
180 168
181 167
183 140
184 148
186 146
188 126
189 141
191 130
192 139
194 139
195 121
197 129
198 122
200 109
202 125
203 125
205 136
206 116
208 119
209 116
211 124
213 124
214 113
216 112
217 121
219 116
220 116
222 125
223 113
225 103
227 96
228 116
230 131
231 113
233 130
234 135
236 137
238 144
239 172
241 185
242 186
244 212
245 219
247 220
248 195
250 215
252 213
253 174
255 151
256 159
258 155
259 130
261 124
263 105
264 96
266 103
267 85
269 66
270 78
272 73
273 61
275 62
277 73
278 66
280 59
281 67
283 60
284 71
286 64
287 74
289 64
291 56
292 71
294 62
295 68
297 71
298 57
300 58
302 62
303 54
305 58
306 55
308 64
309 66
311 68
312 63
314 64
316 46
317 42
319 61
320 54
322 72
323 63
325 82
327 94
328 99
330 117
331 154
333 157
334 161
336 184
337 221
339 219
341 210
342 270
344 239
345 278
347 289
348 293
350 297
352 229
353 274
355 251
356 254
358 203
359 230
361 176
362 149
364 148
366 146
367 108
369 95
370 87
372 84
373 77
375 55
377 61
378 52
380 45
381 49
383 34
384 38
386 52
387 37
389 37
391 35
392 35
394 35
395 34
397 40
398 45
400 40
402 38
403 34
405 43
406 57
408 39
409 47
411 45
412 38
414 54
416 35
417 46
419 47
420 47
422 45
423 57
425 49
427 55
428 44
430 51
431 43
433 32
434 44
436 46
437 36
439 33
441 39
442 44
444 47
445 46
447 36
448 42
450 52
452 44
453 37
455 34
456 31
458 41
459 32
461 36
462 38
464 40
466 28
467 25
469 27
470 38
472 30
473 21
475 30
476 30
478 24
480 35
481 24
483 28
484 28
486 32
487 22
489 26
491 21
492 27
494 38
495 35
497 33
498 24
500 31
501 28
503 33
505 25
506 33
508 24
509 31
511 23
512 24
514 24
516 31
517 22
519 31
520 30
522 24
523 40
525 31
526 27
528 29
530 31
531 18
533 31
534 33
536 24
537 32
539 26
541 26
542 28
544 21
545 22
547 26
548 29
550 36
551 21
553 26
555 32
556 32
558 35
559 27
561 26
562 26
564 24
566 29
567 30
569 31
570 32
572 24
573 29
575 24
576 23
578 23
580 40
581 25
583 28
584 25
586 21
587 25
589 20
591 21
592 24
594 30
595 30
597 30
598 32
600 16
601 24
603 15
605 23
606 26
608 20
609 21
611 22
612 22
614 29
616 25
617 19
619 22
620 14
622 27
623 24
625 27
626 22
628 23
630 27
631 28
633 22
634 31
636 21
637 28
639 25
641 17
642 21
644 22
645 21
647 20
648 31
650 31
651 20
653 22
655 32
656 26
658 27
659 19
661 40
662 21
664 23
665 21
667 15
669 12
670 23
672 19
673 22
675 22
676 21
678 21
680 23
681 32
683 29
684 24
686 24
687 28
689 42
690 28
692 39
694 30
695 27
697 32
698 30
700 25
701 18
703 26
705 22
706 25
708 18
709 23
711 26
712 25
714 16
715 24
717 18
719 17
720 20
722 20
723 16
725 30
726 16
728 15
730 22
731 18
733 18
734 21
736 23
737 16
739 21
740 17
742 16
744 18
745 25
747 27
748 24
750 32
751 35
753 27
755 25
756 39
758 31
759 32
761 38
762 37
764 27
765 33
767 45
769 27
770 34
772 45
773 46
775 40
776 41
778 52
780 43
781 45
783 32
784 49
786 45
787 50
789 52
790 41
792 40
794 34
795 38
797 37
798 39
800 35
801 27
803 36
805 36
806 35
808 20
809 26
811 20
812 28
814 22
815 18
817 24
819 21
820 18
822 15
823 17
825 21
826 15
828 18
830 12
831 32
833 22
834 16
836 15
837 26
839 15
840 16
842 17
844 19
845 22
847 14
848 25
850 18
851 21
853 30
854 21
856 23
858 19
859 16
861 18
862 22
864 22
865 19
867 26
869 15
870 18
872 16
873 16
875 12
876 23
878 13
879 19
881 22
883 10
884 18
886 19
887 12
889 16
890 21
892 13
894 13
895 11
897 9
898 14
900 16
901 6
903 15
904 11
906 13
908 12
909 13
911 17
912 12
914 14
915 12
917 14
919 8
920 12
922 21
923 10
925 17
926 16
928 18
929 18
931 16
933 17
934 28
936 20
937 14
939 18
940 22
942 20
944 23
945 25
947 23
948 23
950 28
951 24
953 29
954 24
956 33
958 29
959 36
