# Chn Amplitude
-9 0
-7 3
-6 3
-4 0
-3 3
-1 80
0 205
1 251
3 275
4 304
6 333
7 355
9 374
10 387
12 395
13 334
15 226
17 195
18 189
20 185
21 196
23 238
24 309
26 405
28 559
29 815
31 1190
32 1600
34 1893
35 2041
37 2121
38 2175
40 2192
42 2147
43 2012
45 1756
46 1379
48 966
49 670
51 510
53 408
54 309
56 226
57 187
59 172
60 168
62 172
63 177
65 182
67 187
68 194
70 202
71 211
73 220
74 230
76 240
78 251
79 263
81 277
82 293
84 308
85 323
87 335
88 342
90 345
92 344
93 341
95 335
96 327
98 316
99 302
101 287
103 271
104 256
106 245
107 244
109 253
110 270
112 306
114 365
115 450
117 560
118 683
120 801
121 902
123 972
124 1010
126 1020
128 996
129 938
131 850
132 738
134 614
135 489
137 380
139 301
140 248
142 213
143 192
145 182
146 178
148 177
149 177
151 179
153 180
154 178
156 176
157 177
159 178
160 179
162 179
164 178
165 176
167 174
168 172
170 170
171 168
173 166
174 164
176 161
178 157
179 154
181 150
182 148
184 146
185 144
187 142
189 139
190 137
192 134
193 132
195 130
196 128
198 126
199 124
201 123
203 123
204 122
206 121
207 121
209 121
210 120
212 119
214 118
215 116
217 114
218 113
220 113
221 113
223 114
224 115
226 116
228 118
229 120
231 124
232 129
234 136
235 144
237 152
239 161
240 170
242 178
243 185
245 191
246 194
248 195
249 193
251 189
253 182
254 173
256 162
257 151
259 139
260 127
262 116
264 107
265 99
267 92
268 87
270 82
271 77
273 74
275 71
276 69
278 67
279 66
281 65
282 65
284 65
285 66
287 66
289 66
290 65
292 65
293 64
295 63
296 62
298 61
300 60
301 59
303 59
304 58
306 58
307 58
309 58
310 58
312 58
314 59
315 59
317 60
318 62
320 64
321 69
323 74
325 82
326 92
328 105
329 118
331 133
332 147
334 162
335 177
337 192
339 207
340 221
342 233
343 244
345 253
346 259
348 263
350 264
351 260
353 254
354 244
356 233
357 219
359 205
360 190
362 174
364 159
365 144
367 130
368 116
370 104
371 92
373 82
375 73
376 65
378 59
379 53
381 49
382 46
384 44
385 42
387 41
389 39
390 39
392 38
393 37
395 37
396 37
398 37
400 38
401 38
403 39
404 40
406 41
407 41
409 42
410 43
412 44
414 44
415 45
417 46
418 47
420 47
421 48
423 48
425 48
426 47
428 46
429 45
431 44
432 43
434 42
435 40
437 40
439 39
440 39
442 39
443 39
445 39
446 39
448 39
450 39
451 38
453 38
454 37
456 36
457 35
459 35
461 34
462 33
464 33
465 32
467 32
468 31
470 31
471 30
473 30
475 30
476 29
478 29
479 29
481 28
482 28
484 28
486 28
487 28
489 28
490 28
492 28
493 28
495 28
496 28
498 28
500 28
501 28
503 28
504 28
506 28
507 28
509 28
511 28
512 27
514 27
515 27
517 27
518 27
520 27
521 27
523 27
525 27
526 26
528 26
529 26
531 26
532 26
534 26
536 26
537 25
539 26
540 26
542 26
543 26
545 26
546 26
548 26
550 27
551 27
553 27
554 27
556 27
557 27
559 28
561 28
562 28
564 28
565 28
567 28
568 28
570 27
571 27
573 27
575 27
576 27
578 26
579 26
581 26
582 26
584 26
586 25
587 25
589 25
590 24
592 24
593 24
595 24
596 24
598 23
600 23
601 23
603 23
604 22
606 22
607 22
609 22
611 22
612 22
614 22
615 22
617 22
618 22
620 22
622 22
623 22
625 22
626 22
628 22
629 23
631 23
632 23
634 23
636 23
637 23
639 23
640 23
642 23
643 23
645 23
647 23
648 23
650 23
651 23
653 23
654 23
656 24
657 24
659 24
661 24
662 24
664 24
665 23
667 23
668 22
670 21
672 21
673 21
675 21
676 21
678 22
679 23
681 24
682 25
684 27
686 27
687 28
689 28
690 28
692 28
693 27
695 26
697 25
698 25
700 24
701 24
703 23
704 23
706 22
707 22
709 22
711 21
712 21
714 21
715 20
717 20
718 20
720 19
722 19
723 19
725 19
726 19
728 19
729 19
731 19
732 19
734 19
736 20
737 20
739 20
740 21
742 22
743 22
745 23
747 24
748 25
750 26
751 27
753 27
754 28
756 29
757 30
759 31
761 32
762 33
764 34
765 35
767 36
768 37
770 38
772 39
773 39
775 40
776 41
778 41
779 42
781 42
782 42
784 42
786 42
787 42
789 41
790 41
792 40
793 39
795 37
797 36
798 35
800 33
801 32
803 31
804 29
806 28
808 27
809 25
811 24
812 23
814 22
815 21
817 21
818 20
820 20
822 20
823 19
825 19
826 19
828 19
829 19
831 19
833 19
834 19
836 19
837 19
839 19
840 19
842 19
843 19
845 19
847 19
848 19
850 19
851 19
853 20
854 20
856 20
858 20
859 20
861 20
862 19
864 19
865 19
867 19
868 18
870 18
872 18
873 17
875 17
876 16
878 16
879 15
881 15
883 14
884 14
886 14
887 13
889 13
890 13
892 12
893 12
895 12
897 12
898 12
900 11
901 11
903 11
904 11
906 11
908 11
909 12
911 12
912 12
914 12
915 12
917 13
918 13
920 14
922 14
923 15
925 15
926 16
928 16
929 17
931 17
933 18
934 18
936 19
937 20
939 20
940 21
942 22
943 22
945 23
947 24
948 24
950 25
951 25
953 26
954 26
956 26
958 27
959 27
961 27
962 27
964 27
965 27
967 26
968 26
970 26
972 25
973 25
975 24
976 23
978 23
979 22
981 21
983 20
984 20
986 19
987 18
989 17
990 17
992 16
994 15
995 14
997 14
998 13
1000 12
1001 12
1003 11
1004 11
1006 10
1008 10
1009 9
1011 9
1012 9
1014 8
1015 8
1017 8
1019 8
1020 8
1022 8
1023 8
1025 8
1026 8
1028 8
1029 9
1031 9
1033 9
1034 9
1036 10
1037 10
1039 10
1040 11
1042 11
1044 11
1045 11
1047 12
1048 12
1050 13
1051 13
1053 13
1054 14
1056 14
1058 15
1059 16
1061 16
1062 17
1064 18
1065 19
1067 19
1069 20
1070 21
1072 22
1073 23
1075 24
1076 25
1078 26
1079 27
1081 28
1083 28
1084 29
1086 30
1087 30
1089 31
1090 31
1092 31
1094 31
1095 31
1097 31
1098 31
1100 31
1101 30
1103 30
1104 30
1106 29
1108 29
1109 28
1111 28
1112 27
1114 27
1115 26
1117 25
1119 25
1120 24
1122 23
1123 23
1125 22
1126 21
1128 20
1129 19
1131 19
1133 18
1134 17
1136 16
1137 15
1139 14
1140 14
1142 13
1144 12
1145 12
1147 11
1148 10
1150 10
1151 9
1153 8
1155 8
1156 7
1158 7
1159 6
1161 6
1162 6
1164 5
1165 5
1167 5
1169 5
1170 5
1172 5
1173 5
1175 5
1176 5
1178 5
1180 5
1181 5
1183 5
1184 5
1186 5
1187 5
1189 5
1190 5
1192 5
1194 4
1195 4
1197 4
1198 4
1200 4
1201 4
1203 4
1205 4
1206 4
1208 4
1209 4
1211 4
1212 4
1214 4
1215 3
1217 3
1219 3
1220 3
1222 3
1223 3
1225 3
1226 3
1228 3
1230 3
1231 3
1233 3
1234 3
1236 3
1237 3
1239 3
1240 3
1242 3
1244 3
1245 3
1247 3
1248 3
1250 3
1251 3
1253 2
1255 2
1256 2
1258 2
1259 2
1261 2
1262 2
1264 2
1265 2
1267 2
1269 2
1270 2
1272 2
1273 2
1275 1
1276 1
1278 1
1280 1
1281 1
1283 1
1284 1
1286 1
1287 1
1289 1
1290 1
1292 1
1294 1
1295 1
1297 1
1298 1
1300 1
1301 1
1303 1
1305 1
1306 1
1308 1
1309 1
1311 1
1312 1
1314 1
1315 1
1317 1
1319 1
1320 1
1322 1
1323 1
1325 1
1326 1
1328 1
1330 1
1331 1
1333 1
1334 1
1336 1
1337 2
1339 2
1341 2
1342 2
1344 2
1345 2
1347 2
1348 2
1350 2
1351 2
1353 2
1355 3
1356 3
1358 3
1359 3
1361 4
1362 4
1364 4
1366 4
1367 5
1369 5
1370 6
1372 6
1373 6
1375 7
1376 7
1378 8
1380 8
1381 9
1383 9
1384 9
1386 10
1387 10
1389 11
1391 11
1392 12
1394 12
1395 13
1397 13
1398 14
1400 14
1401 14
1403 15
1405 15
1406 15
1408 15
1409 15
1411 15
1412 15
1414 15
1416 15
1417 15
1419 15
1420 15
1422 14
1423 14
1425 14
1426 13
1428 13
1430 13
1431 12
1433 12
1434 11
1436 11
1437 10
1439 10
1441 9
1442 9
1444 9
1445 8
1447 8
1448 7
1450 7
1451 6
1453 6
1455 6
1456 5
1458 5
1459 5
1461 4
1462 4
1464 4
1466 3
1467 3
1469 3
1470 3
1472 2
1473 2
1475 2
1476 2
1478 2
1480 2
1481 1
1483 1
1484 1
1486 1
1487 1
1489 1
1491 1
1492 1
1494 1
1495 1
1497 1
1498 1
1500 1
1502 1
1503 1
1505 0
1506 0
1508 0
1509 0
1511 0
1512 0
1514 0
1516 0
1517 0
1519 0
1520 0
1522 0
1523 0
1525 0
1527 0
1528 0
1530 0
1531 0
1533 0
1534 0
1536 0
1537 0
1539 0
1541 0
1542 0
1544 0
1545 0
1547 0
1548 0
1550 0
1552 0
1553 0
1555 0
1556 0
1558 0
1559 0
1561 0
1562 0
1564 0
1566 0
1567 0
1569 0
1570 0
1572 0
1573 0
1575 0
1577 0
1578 0
1580 0
1581 0
1583 0
