# Chn Amplitude
-15 0
-13 0
-11 0
-10 0
-8 0
-7 0
-5 0
-4 0
-2 0
0 0
0 0
2 0
3 0
5 89
6 165
8 170
9 192
11 200
13 185
14 195
16 205
17 230
19 209
20 258
22 230
24 256
25 274
27 260
28 325
30 324
31 309
33 292
34 340
36 311
38 308
39 313
41 390
42 386
44 435
45 451
47 452
49 486
50 549
52 531
53 615
55 693
56 695
58 761
59 764
61 879
63 891
64 935
66 910
67 991
69 1007
70 1049
72 1129
73 1094
75 1176
77 1213
78 1234
80 1187
81 1148
83 1092
84 1192
86 1126
88 1115
89 1138
91 1183
92 1254
94 1107
95 1176
97 1157
98 1116
100 1077
102 1074
103 1071
105 1068
106 1045
108 1084
109 1083
111 1014
113 1003
114 1045
116 990
117 926
119 956
120 976
122 949
123 890
125 975
127 859
128 906
130 872
131 872
133 855
134 865
136 915
138 828
139 768
141 754
142 777
144 830
145 786
147 788
148 764
150 721
152 709
153 710
155 695
156 690
158 685
159 657
161 616
163 612
164 643
166 645
167 588
169 628
170 606
172 609
173 618
175 539
177 544
178 584
180 521
181 561
183 546
184 561
186 540
188 511
189 516
191 521
192 512
194 493
195 504
197 461
198 457
200 485
202 452
203 431
205 419
206 426
208 419
209 428
211 394
213 451
214 417
216 395
217 399
219 374
220 397
222 363
223 386
225 382
227 349
228 356
230 384
231 319
233 384
234 354
236 388
238 353
239 378
241 375
242 370
244 360
245 337
247 332
248 333
250 336
252 343
253 318
255 284
256 265
258 264
259 285
261 252
263 234
264 227
266 266
267 234
269 260
270 189
272 211
273 232
275 219
277 192
278 186
280 213
281 218
283 204
284 197
286 193
287 194
289 192
291 193
292 218
294 184
295 193
297 189
298 213
300 172
302 184
303 164
305 180
306 186
308 171
309 152
311 164
312 148
314 176
316 167
317 153
319 143
320 144
322 146
323 142
325 139
327 134
328 130
330 145
331 169
333 137
334 140
336 122
337 137
339 126
341 138
342 132
344 144
345 122
347 122
348 137
350 147
352 153
353 124
355 137
356 151
358 138
359 126
361 122
362 138
364 117
366 115
367 95
369 111
370 108
372 107
373 109
375 79
377 94
378 90
380 87
381 89
383 90
384 76
386 93
387 94
389 81
391 99
392 91
394 85
395 80
397 83
398 81
400 82
402 63
403 75
405 84
406 70
408 70
409 84
411 72
412 70
414 75
416 74
417 80
419 79
420 69
422 77
423 66
425 58
427 62
428 71
430 68
431 59
433 49
434 74
436 76
437 67
439 63
441 64
442 64
444 71
445 68
447 58
448 78
450 62
452 59
453 58
455 80
456 66
458 59
459 68
461 41
462 71
464 62
466 49
467 61
469 72
470 53
472 54
473 63
475 51
476 60
478 55
480 46
481 65
483 53
484 47
486 47
487 56
489 58
491 62
492 60
494 51
495 62
497 62
498 64
500 53
501 54
503 55
505 42
506 46
508 53
509 57
511 62
512 45
514 50
516 46
517 46
519 52
520 42
522 38
523 47
525 30
526 45
528 44
530 32
531 60
533 48
534 50
536 42
537 46
539 42
541 44
542 32
544 39
545 55
547 48
548 33
550 36
551 34
553 43
555 51
556 41
558 45
559 48
561 35
562 40
564 44
566 48
567 51
569 40
570 47
572 46
573 41
575 52
576 53
578 38
580 45
581 44
583 41
584 56
586 42
587 43
589 44
591 56
592 45
594 52
595 54
597 49
598 53
600 61
601 58
603 42
605 41
606 54
608 62
609 53
611 39
612 52
614 50
616 52
617 44
619 55
620 38
622 45
623 45
625 45
626 27
628 44
630 47
631 30
633 26
634 43
636 30
637 43
639 35
641 35
642 25
644 34
645 32
647 31
648 35
650 34
651 25
653 30
655 46
656 31
658 41
659 30
661 31
662 38
664 41
665 22
667 26
669 30
670 37
672 31
673 37
675 42
676 39
678 29
680 32
681 35
683 27
684 27
686 32
687 16
689 23
690 28
692 20
694 28
695 23
697 26
698 28
700 24
701 22
703 25
705 26
706 29
708 26
709 21
711 29
712 23
714 21
715 19
717 32
719 26
720 24
722 24
723 22
725 26
726 25
728 24
730 34
731 21
733 22
734 21
736 23
737 26
739 21
740 26
742 34
744 26
745 35
747 20
748 23
750 29
751 27
753 18
755 20
756 15
758 17
759 22
761 22
762 31
764 20
765 27
767 27
769 24
770 24
772 14
773 19
775 27
776 20
778 23
780 28
781 20
783 28
784 22
786 17
787 20
789 24
790 29
792 23
794 24
795 18
797 12
798 17
800 20
801 23
803 27
805 23
806 23
808 20
809 20
811 23
812 16
814 23
815 15
817 27
819 23
820 17
822 24
823 24
825 26
826 20
828 19
830 19
831 14
833 26
834 21
836 15
837 21
839 20
840 18
842 21
844 14
845 18
847 13
848 27
850 23
851 29
853 20
854 26
856 22
858 20
859 18
861 21
862 15
864 25
865 17
867 20
869 18
870 17
872 21
873 9
875 14
876 20
878 19
879 18
881 14
883 18
884 17
886 13
887 22
889 16
890 20
892 20
894 17
895 16
897 30
898 28
900 20
901 15
903 24
904 21
906 23
908 23
909 28
911 22
912 21
914 23
915 25
917 27
919 28
920 19
922 29
923 18
925 19
926 23
928 19
929 24
931 14
933 17
934 22
936 19
937 24
939 16
940 23
942 16
944 14
945 20
947 21
948 23
950 17
951 11
953 18
