# Chn Amplitude
-9 0
-7 1
-6 2
-4 3
-3 5
-1 13
0 25
1 40
3 58
4 77
6 98
7 119
9 140
10 162
12 182
13 196
15 206
17 214
18 223
20 233
21 244
23 255
24 264
26 273
28 280
29 288
31 296
32 305
34 316
35 327
37 340
38 354
40 370
42 389
43 410
45 435
46 464
48 497
49 531
51 566
53 602
54 643
56 686
57 727
59 768
60 810
62 851
63 892
65 931
67 969
68 1004
70 1038
71 1068
73 1095
74 1118
76 1132
78 1147
79 1155
81 1159
82 1162
84 1161
85 1162
87 1156
88 1154
90 1152
92 1151
93 1144
95 1139
96 1132
98 1124
99 1116
101 1101
103 1093
104 1080
106 1067
107 1056
109 1045
110 1033
112 1022
114 1009
115 996
117 983
118 969
120 956
121 944
123 931
124 920
126 909
128 900
129 892
131 883
132 869
134 855
135 845
137 836
139 827
140 817
142 806
143 793
145 776
146 760
148 752
149 745
151 732
153 717
154 702
156 687
157 675
159 665
160 655
162 645
164 635
165 626
167 618
168 610
170 603
171 596
173 588
174 581
176 575
178 568
179 560
181 552
182 546
184 540
185 534
187 528
189 521
190 513
192 505
193 497
195 489
196 480
198 471
199 463
201 456
203 449
204 443
206 437
207 430
209 424
210 418
212 412
214 408
215 403
217 399
218 394
220 388
221 382
223 377
224 373
226 370
228 369
229 368
231 367
232 366
234 365
235 364
237 363
239 361
240 359
242 356
243 352
245 347
246 341
248 334
249 325
251 317
253 309
254 300
256 290
257 281
259 272
260 263
262 255
264 248
265 241
267 236
268 231
270 226
271 223
273 219
275 216
276 213
278 210
279 208
281 206
282 204
284 202
285 200
287 198
289 197
290 196
292 194
293 193
295 191
296 189
298 187
300 185
301 182
303 179
304 176
306 173
307 170
309 167
310 164
312 161
314 158
315 156
317 154
318 152
320 150
321 148
323 146
325 145
326 143
328 141
329 140
331 138
332 137
334 137
335 136
337 135
339 134
340 134
342 133
343 133
345 133
346 133
348 133
350 134
351 134
353 133
354 133
356 132
357 131
359 129
360 127
362 124
364 122
365 118
367 115
368 111
370 107
371 103
373 100
375 97
376 95
378 93
379 92
381 91
382 91
384 90
385 90
387 89
389 88
390 87
392 85
393 83
395 82
396 80
398 79
400 78
401 77
403 76
404 76
406 75
407 75
409 75
410 74
412 74
414 73
415 73
417 72
418 71
420 70
421 70
423 69
425 68
426 67
428 67
429 66
431 65
432 65
434 64
435 64
437 64
439 63
440 63
442 63
443 63
445 63
446 64
448 64
450 64
451 63
453 63
454 63
456 62
457 62
459 62
461 61
462 61
464 60
465 60
467 60
468 59
470 59
471 58
473 58
475 57
476 57
478 56
479 56
481 55
482 55
484 55
486 54
487 54
489 54
490 54
492 54
493 54
495 54
496 54
498 54
500 53
501 53
503 53
504 52
506 51
507 51
509 50
511 49
512 48
514 48
515 47
517 46
518 46
520 45
521 45
523 44
525 44
526 44
528 43
529 43
531 43
532 43
534 43
536 43
537 43
539 43
540 43
542 42
543 42
545 42
546 42
548 42
550 42
551 42
553 42
554 42
556 42
557 42
559 42
561 42
562 43
564 43
565 43
567 43
568 43
570 43
571 44
573 44
575 44
576 44
578 44
579 45
581 45
582 45
584 45
586 46
587 46
589 46
590 47
592 47
593 48
595 48
596 48
598 49
600 49
601 49
603 50
604 50
606 50
607 50
609 50
611 50
612 49
614 49
615 48
617 47
618 46
620 45
622 44
623 43
625 42
626 41
628 40
629 39
631 38
632 36
634 36
636 35
637 34
639 33
640 33
642 33
643 33
645 33
647 33
648 33
650 33
651 33
653 33
654 33
656 33
657 33
659 33
661 33
662 33
664 33
665 32
667 32
668 32
670 32
672 32
673 31
675 31
676 30
678 30
679 29
681 28
682 27
684 27
686 26
687 25
689 25
690 25
692 25
693 25
695 25
697 25
698 25
700 25
701 25
703 25
704 25
706 25
707 25
709 25
711 25
712 24
714 24
715 24
717 24
718 24
720 24
722 24
723 24
725 24
726 24
728 24
729 24
731 24
732 24
734 24
736 24
737 23
739 23
740 23
742 23
743 23
745 23
747 23
748 23
750 23
751 23
753 23
754 22
756 22
757 22
759 22
761 22
762 22
764 22
765 22
767 22
768 22
770 22
772 22
773 22
775 22
776 22
778 22
779 21
781 21
782 21
784 21
786 21
787 21
789 21
790 21
792 21
793 21
795 21
797 21
798 21
800 21
801 21
803 21
804 21
806 21
808 21
809 20
811 20
812 20
814 20
815 20
817 20
818 20
820 20
822 20
823 20
825 19
826 19
828 19
829 19
831 19
833 19
834 19
836 19
837 19
839 19
840 19
842 19
843 19
845 19
847 19
848 19
850 19
851 19
853 19
854 19
856 19
858 19
859 19
861 19
862 19
864 19
865 19
867 19
868 18
870 18
872 18
873 18
875 18
876 17
878 17
879 17
881 17
883 17
884 17
886 17
887 17
889 17
890 18
892 18
893 18
895 19
897 19
898 19
900 20
901 20
903 21
904 21
906 21
908 22
909 22
911 22
912 22
914 22
915 22
917 22
918 22
920 22
922 22
923 21
925 21
926 21
928 20
929 20
931 20
933 19
934 19
936 19
937 19
939 19
940 18
942 18
943 18
945 18
947 18
948 18
950 18
951 18
953 18
954 18
956 18
958 18
959 18
961 18
962 18
964 18
965 18
967 18
968 18
970 18
972 17
973 17
975 17
976 17
978 17
979 16
981 16
983 16
984 16
986 16
987 16
989 15
990 15
992 15
994 15
995 15
997 15
998 15
1000 15
1001 15
1003 15
1004 15
1006 15
1008 15
1009 15
1011 15
1012 15
1014 14
1015 14
1017 14
1019 14
1020 13
1022 13
1023 13
1025 13
1026 13
1028 13
1029 13
1031 13
1033 13
1034 13
1036 13
1037 14
1039 14
1040 14
1042 14
1044 14
1045 14
1047 14
1048 14
1050 14
1051 14
1053 14
1054 14
1056 14
1058 14
1059 14
1061 14
1062 15
1064 15
1065 15
1067 15
1069 15
1070 15
1072 15
1073 15
1075 15
1076 15
1078 15
1079 15
1081 15
1083 15
1084 15
1086 15
1087 15
1089 15
1090 15
1092 15
1094 15
1095 15
1097 15
1098 15
1100 16
1101 16
1103 16
1104 16
1106 16
1108 16
1109 16
1111 16
1112 16
1114 16
1115 16
1117 16
1119 16
1120 15
1122 15
1123 15
1125 15
1126 15
1128 15
1129 15
1131 15
1133 15
1134 15
1136 15
1137 14
1139 14
1140 14
1142 14
1144 14
1145 14
1147 14
1148 15
1150 15
1151 15
1153 15
1155 15
1156 15
1158 15
1159 15
1161 15
1162 15
1164 15
1165 15
1167 14
1169 14
1170 14
1172 14
1173 14
1175 14
1176 14
1178 14
1180 14
1181 14
1183 13
1184 13
1186 13
1187 13
1189 13
1190 13
1192 13
1194 13
1195 13
1197 12
1198 12
1200 12
1201 12
1203 12
1205 12
1206 12
1208 12
1209 12
1211 12
1212 11
1214 11
1215 11
1217 11
1219 11
1220 11
1222 11
1223 10
1225 10
1226 10
1228 10
1230 10
1231 10
1233 9
1234 9
1236 9
1237 9
1239 9
1240 9
1242 8
1244 8
1245 8
1247 8
1248 8
1250 8
1251 8
1253 7
1255 7
1256 7
1258 7
1259 7
1261 7
1262 7
1264 6
1265 6
1267 6
1269 6
1270 6
1272 6
1273 6
1275 6
1276 6
1278 5
1280 5
1281 5
1283 5
1284 5
1286 5
1287 5
1289 5
