# Voltagem (V)	Contagem 1	Incerteza 1	Contagem 2	Incerteza 2	N	dN	Taxa	Incerteza da Taxa	True Rate	d(True Rate)
100	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
125	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
150	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
175	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
200	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
225	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
250	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
275	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
300	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
325	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
350	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
375	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
400	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
425	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
450	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
475	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
500	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
525	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
550	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
575	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
600	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
625	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
650	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
675	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
700	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
725	0	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
750	549	23.43	1	1.00	550.00	24.43	9.17	0.41	-0.63	0.61
775	553	23.52	575	23.98	1128.00	47.50	18.80	0.79	-0.63	1.22
800	651	25.51	565	23.77	1216.00	49.28	20.27	0.82	-0.63	1.32
825	651	25.51	626	25.02	1277.00	50.53	21.28	0.84	-0.63	1.38
850	617	24.84	682	26.12	1299.00	50.95	21.65	0.85	-0.63	1.40
875	675	25.98	667	25.83	1342.00	51.81	22.37	0.86	-0.63	1.45
900	687	26.21	666	25.81	1353.00	52.02	22.55	0.87	-0.63	1.46
925	653	25.55	675	25.98	1328.00	51.53	22.13	0.86	-0.63	1.44
950	663	25.75	690	26.27	1353.00	52.02	22.55	0.87	-0.63	1.46
975	673	25.94	685	26.17	1358.00	52.11	22.63	0.87	-0.63	1.47
1000	736	27.13	707	26.59	1443.00	53.72	24.05	0.90	-0.63	1.56
1025	767	27.69	738	27.17	1505.00	54.86	25.08	0.91	-0.63	1.62
1050	796	28.21	764	27.64	1560.00	55.85	26.00	0.93	-0.63	1.68
1075	701	26.48	746	27.31	1447.00	53.79	24.12	0.90	-0.63	1.56
1100	754	27.46	782	27.96	1536.00	55.42	25.60	0.92	-0.63	1.66
1125	737	27.15	785	28.02	1522.00	55.17	25.37	0.92	-0.63	1.64
1150	750	27.39	740	27.20	1490.00	54.59	24.83	0.91	-0.63	1.61
1175	757	27.51	810	28.46	1567.00	55.97	26.12	0.93	-0.63	1.69
1200	775	27.84	770	27.75	1545.00	55.59	25.75	0.93	-0.63	1.67
